City,Description,Temperature (Â°C),Humidity(%),Wind_speed  (m/s),Time
Baghdad,clear sky,43.95,8,7.2,2025-05-24 13:25:57
Baghdad,clear sky,43.95,8,7.2,2025-05-24 13:34:17
Baghdad,clear sky,34.95,21,7.2,2025-05-25 09:55:23
Baghdad,clear sky,42.95,11,4.12,2025-05-27 13:09:06
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:20:14
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:22:38
Budapest,clear sky,22.41,41,5.14,2025-05-27 13:24:05
Amsterdam,broken clouds,16.51,73,9.26,2025-05-27 13:24:31
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:31:52
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:40:24
Budapest,clear sky,22.57,40,5.14,2025-05-27 13:41:28
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:43:08
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:43:41
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:49:30
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:50:20
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:50:56

Budapest,clear sky,22.41,42,5.14,2025-05-27 13:55:11
Amsterdam,scattered clouds,17.23,69,9.26,2025-05-27 13:56:37
Baghdad,clear sky,43.95,10,5.14,2025-05-27 13:58:06

Amsterdam,scattered clouds,17.23,69,9.26,2025-05-27 13:59:31

Baghdad,clear sky,43.95,10,5.14,2025-05-27 14:01:35
Baghdad,clear sky,43.95,10,5.14,2025-05-27 14:02:33
Budapest,clear sky,21.98,41,5.14,2025-05-27 14:03:21
